patient_id,name,phone,realationship
70873138282,Hasheem Wrightham,6978483023,Sister
33044110184,Theodore Bover,6941546153,Daughter
98081585082,Roy Marcq,6936061215,Son
67243789496,Robbie Kempster,6916174364,Uncle
58145615428,Freeman Keppin,6932950565,Aunt
67407829976,Valle Bartosik,6922325055,Cousin
91542731389,Brnaba Deniske,6929093636,Mother
60513785856,Stanford Rodge,6957218443,Father
36584847761,Dukey Gossop,6971694384,Spouse
81706746451,Noland Mar,6935337411,Brother
37997771362,Desmond Bruckman,6991850314,Sister
26646644484,Freeman Willcot,6946518383,Daughter
94763453856,Antonin Pedri,6993743338,Son
46104273577,Roarke Shah,6937364325,Uncle
45834447187,Tore Bahlmann,6987609796,Aunt
40107859093,Noe Martyn,6921690267,Cousin
