Act_ID,Hospitalization_ID,Code,Name,Category,Duration_Minutes,Cost,Room_ID,Main_Surgeon_AMKA,Assistant_1_ID,Assistant_2_ID,Date
24,292,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_01,75339133780,67758463500,10000000052,2026-01-11
25,468,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_02,20287442157,10000000035,10000000008,2025-03-06
26,77,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_08,67758463500,10000000028,10000000079,2025-07-03
27,33,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_06,60170274590,90656248238,98451520706,2025-03-01
28,313,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_05,40850595762,36702445480,20140926142,2025-06-19
29,105,P06,Αιμοκάθαρση,Θεραπευτική,240,400,OR_10,53434182353,60344799227,10000000069,2025-09-19
30,316,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_09,62496380045,10000000074,51927673524,2026-02-05
31,322,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_10,80036372124,10000000026,81344410739,2025-04-02
32,396,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_01,53727815147,82857924186,10000000071,2025-02-24
33,419,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_02,30871168286,10000000041,10000000031,2025-11-02
34,269,P06,Αιμοκάθαρση,Θεραπευτική,240,400,OR_10,84320135602,51734845697,10000000052,2026-01-30
35,231,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_06,37233268274,10000000064,10000000020,2026-03-13
36,359,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_07,36702445480,80036372124,10000000047,2026-01-18
37,498,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_05,35134846364,10000000025,22585413484,2025-08-29
38,125,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_03,96575194408,10000000014,27946441835,2025-05-19
39,412,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_07,31551628292,30871168286,10000000058,2025-09-02
40,106,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_05,98870684482,10000000064,10000000049,2025-07-15
41,46,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_05,44869451267,33860842912,65063112418,2025-01-20
42,136,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_02,73253025603,32379434579,10000000015,2025-04-20
43,350,P06,Αιμοκάθαρση,Θεραπευτική,240,400,OR_01,60334753081,10000000073,19276620746,2025-05-25
44,63,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_02,62066779638,10000000004,10000000008,2025-05-19
45,378,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_10,94374664371,10000000027,56784597458,2025-11-23
46,414,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_02,77117947422,40850595762,10000000077,2025-12-08
47,283,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_07,31976884284,74895326292,10000000036,2025-01-22
48,478,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_07,40850595762,10000000011,10000000022,2025-10-04
49,115,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_10,85282038277,10000000049,97287210691,2025-06-17
50,477,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_07,18193427864,10000000021,73253025603,2025-08-21
51,484,P06,Αιμοκάθαρση,Θεραπευτική,240,400,OR_04,60170274590,80036372124,39243562439,2025-05-13
52,157,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_02,47960718664,10000000031,10000000003,2025-11-14
53,70,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_08,53262763012,10000000036,10000000026,2026-01-13
54,499,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_01,92698522280,80036372124,60344799227,2025-01-15
55,258,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_05,50922589695,10000000007,21389790404,2026-02-27
56,148,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_09,60552999461,10000000026,10000000008,2025-09-24
57,422,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_01,31976884284,10000000066,83923788555,2025-11-13
58,91,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_10,60552999461,90656248238,10000000022,2025-02-05
59,110,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_01,60334753081,55878996856,10000000000,2025-05-11
60,452,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_10,39243562439,10000000076,10000000032,2025-11-23
61,286,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_03,84320135602,10000000047,53262763012,2025-03-18
62,104,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_10,30639295654,10000000070,85282038277,2025-09-14
63,168,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_08,60552999461,65063112418,10000000005,2026-02-17
64,126,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_10,44869451267,90656248238,22561283452,2025-12-24
65,385,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_03,46055220563,10000000078,97287210691,2026-02-04
66,343,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_03,46055220563,10000000064,10000000076,2025-10-11
67,356,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_07,81344410739,10000000045,31976884284,2025-05-16
68,252,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_03,73253025603,56784597458,10000000046,2025-05-04
69,427,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_08,15517900330,10000000059,20287442157,2025-11-19
70,469,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_04,30639295654,60344799227,38538288127,2025-02-12
71,95,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_01,60170274590,10000000042,98901183989,2025-11-18
72,458,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_02,94374664371,10000000019,78832401220,2025-10-16
73,146,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_05,36702445480,50922589695,10000000067,2025-08-31
74,480,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_07,67697807470,47960718664,10000000076,2025-06-18
75,188,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_03,22585413484,10000000049,96575194408,2026-03-25
76,348,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_08,80036372124,10000000008,10000000004,2025-04-26
77,249,P06,Αιμοκάθαρση,Θεραπευτική,240,400,OR_07,20287442157,31551628292,60170274590,2025-05-30
78,258,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_07,91367023329,10000000015,10000000079,2026-02-27
79,13,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_01,56650467990,10000000079,46055220563,2025-07-10
80,61,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_03,18716063973,10000000044,10000000024,2025-05-20
81,372,P06,Αιμοκάθαρση,Θεραπευτική,240,400,OR_08,95448079151,31551628292,60170274590,2026-02-09
82,489,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_09,40850595762,10000000043,10000000058,2026-03-20
83,127,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_01,89981892222,10000000052,33860842912,2025-06-06
84,264,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_10,30871168286,10000000029,91367023329,2025-04-25
85,360,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_05,99795619901,10000000056,57199282441,2025-09-01
86,437,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_06,90656248238,10000000052,10000000029,2025-06-19
87,188,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_08,35895166626,13706183648,48486875122,2026-03-25
88,405,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_09,40889689402,10000000021,20287442157,2025-09-21
89,459,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_06,67758463500,10000000038,90134508778,2025-10-13
90,27,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_01,35134846364,62066779638,10000000071,2025-01-02
91,446,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_03,82857924186,48486875122,10000000018,2025-08-10
92,301,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_06,60334753081,10000000059,10000000056,2026-03-07
93,112,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_08,74997800957,10000000004,10000000022,2025-09-01
94,44,P06,Αιμοκάθαρση,Θεραπευτική,240,400,OR_05,22585413484,18716063973,10000000056,2025-07-21
95,191,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_10,53262763012,10000000011,20287442157,2025-10-05
96,416,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_09,30639295654,10000000079,53727815147,2026-03-04
97,153,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_03,50922589695,45979296668,96575194408,2025-11-18
98,494,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_10,83923788555,10000000019,10000000046,2025-07-15
99,233,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_06,15517900330,10000000014,10000000064,2025-04-28
100,362,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_10,84320135602,67758463500,10000000040,2025-03-22
101,156,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_08,96575194408,37233268274,10000000008,2025-10-16
102,131,P06,Αιμοκάθαρση,Θεραπευτική,240,400,OR_09,95448079151,30871168286,46055220563,2026-02-18
103,246,P06,Αιμοκάθαρση,Θεραπευτική,240,400,OR_02,53434182353,62066779638,10000000038,2026-01-25
104,307,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_09,62066779638,10000000071,10000000056,2026-01-27
105,419,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_08,20287442157,10000000017,10000000079,2025-11-02
106,221,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_06,53262763012,40850595762,10000000079,2025-10-15
107,189,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_09,21389790404,65063112418,82857924186,2025-02-25
108,251,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_05,15517900330,10000000050,10000000047,2025-10-12
109,23,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_10,62066779638,40889689402,46055220563,2025-04-07
110,120,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_08,50922589695,10000000018,10000000017,2026-03-17
111,452,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_08,35895166626,62066779638,10000000032,2025-11-23
112,442,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_02,84320135602,33860842912,22585413484,2025-05-25
113,26,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_03,75339133780,81344410739,53434182353,2025-12-05
114,376,P06,Αιμοκάθαρση,Θεραπευτική,240,400,OR_05,51734845697,10000000007,50922589695,2026-03-22
115,270,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_04,84320135602,94613426776,30689575097,2025-03-07
116,27,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_04,30871168286,85282038277,41069533517,2025-01-02
117,252,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_09,94374664371,10000000034,18193427864,2025-05-04
118,219,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_09,36702445480,10000000005,10000000067,2025-05-16
119,3,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_01,89981892222,10000000001,10000000026,2026-01-27
120,47,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_06,46055220563,44869451267,62743168874,2025-03-27
121,323,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_05,92698522280,40889689402,10000000000,2025-03-21
122,412,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_10,62743168874,75339133780,33860842912,2025-09-02
123,151,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_10,33575450249,36702445480,84320135602,2025-08-27
124,462,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_10,47960718664,10000000064,98901183989,2025-12-22
125,198,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_09,78832401220,10000000053,37233268274,2025-11-12
126,165,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_01,30689575097,53434182353,60170274590,2025-09-25
127,138,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_07,19276620746,51927673524,10000000022,2025-04-06
128,358,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_09,36702445480,73253025603,44869451267,2025-01-28
129,334,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_01,56784597458,39243562439,47960718664,2025-10-22
130,278,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_07,50922589695,10000000043,31976884284,2026-02-23
131,424,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_09,13706183648,10000000015,19276620746,2025-02-23
132,131,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_05,50922589695,10000000057,45979296668,2026-02-18
133,166,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_03,51734845697,10000000044,10000000023,2025-04-20
134,270,P06,Αιμοκάθαρση,Θεραπευτική,240,400,OR_09,65063112418,19276620746,22561283452,2025-03-07
135,386,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_05,44869451267,10000000038,20140926142,2025-09-06
136,237,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_04,51734845697,74997800957,32379434579,2026-03-22
137,74,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_08,94374664371,10000000049,75339133780,2026-01-23
138,246,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_06,81344410739,10000000061,10000000060,2026-01-25
139,413,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_03,85282038277,10000000062,50922589695,2025-06-11
140,117,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_07,94613426776,51734845697,10000000064,2025-03-05
141,203,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_03,48486875122,10000000056,35134846364,2025-09-11
142,34,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_06,55878996856,10000000020,10000000004,2025-11-14
143,415,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_04,77117947422,10000000053,20287442157,2025-09-04
144,338,P06,Αιμοκάθαρση,Θεραπευτική,240,400,OR_04,98901183989,10000000004,98870684482,2025-11-06
145,285,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_09,78832401220,10000000057,80036372124,2025-03-29
146,110,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_03,78832401220,10000000046,10000000004,2025-05-11
147,203,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_03,39243562439,10000000023,38538288127,2025-09-11
148,447,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_08,83923788555,10000000073,10000000063,2025-01-23
149,283,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_03,32379434579,81344410739,10000000028,2025-01-22
150,63,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_07,18716063973,30639295654,10000000057,2025-05-19
