proc_id,amka,role
56,33575450249,MAIN_SURGEON
57,60552999461,MAIN_SURGEON
57,10000000078,ASSISTANT
58,30689575097,MAIN_SURGEON
58,10000000075,ASSISTANT
58,39243562439,ASSISTANT
59,98901183989,MAIN_SURGEON
59,10000000014,ASSISTANT
59,99795619901,ASSISTANT
60,41069533517,MAIN_SURGEON
61,22561283452,MAIN_SURGEON
62,33575450249,MAIN_SURGEON
62,10000000068,ASSISTANT
63,77117947422,MAIN_SURGEON
63,10000000034,ASSISTANT
64,97287210691,MAIN_SURGEON
64,10000000011,ASSISTANT
64,31976884284,ASSISTANT
65,75339133780,MAIN_SURGEON
65,10000000063,ASSISTANT
66,74997800957,MAIN_SURGEON
67,56784597458,MAIN_SURGEON
67,10000000067,ASSISTANT
68,60344799227,MAIN_SURGEON
69,18193427864,MAIN_SURGEON
70,31551628292,MAIN_SURGEON
71,53262763012,MAIN_SURGEON
71,10000000036,ASSISTANT
72,27946441835,MAIN_SURGEON
72,10000000063,ASSISTANT
73,15517900330,MAIN_SURGEON
73,10000000078,ASSISTANT
73,37233268274,ASSISTANT
74,65063112418,MAIN_SURGEON
74,10000000057,ASSISTANT
75,95448079151,MAIN_SURGEON
75,10000000059,ASSISTANT
76,52288372388,MAIN_SURGEON
76,10000000074,ASSISTANT
77,35134846364,MAIN_SURGEON
78,46055220563,MAIN_SURGEON
78,10000000037,ASSISTANT
78,53727815147,ASSISTANT
79,91367023329,MAIN_SURGEON
80,51734845697,MAIN_SURGEON
80,10000000018,ASSISTANT
81,98901183989,MAIN_SURGEON
82,41069533517,MAIN_SURGEON
83,22585413484,MAIN_SURGEON
84,65063112418,MAIN_SURGEON
85,52288372388,MAIN_SURGEON
86,91367023329,MAIN_SURGEON
86,10000000056,ASSISTANT
87,53434182353,MAIN_SURGEON
88,44869451267,MAIN_SURGEON
89,39243562439,MAIN_SURGEON
89,10000000046,ASSISTANT
89,40850595762,ASSISTANT
90,73253025603,MAIN_SURGEON
90,10000000039,ASSISTANT
90,51734845697,ASSISTANT
91,62496380045,MAIN_SURGEON
92,57199282441,MAIN_SURGEON
92,10000000010,ASSISTANT
92,36702445480,ASSISTANT
93,53727815147,MAIN_SURGEON
93,10000000007,ASSISTANT
93,56650467990,ASSISTANT
94,98901183989,MAIN_SURGEON
94,10000000022,ASSISTANT
94,99795619901,ASSISTANT
95,32379434579,MAIN_SURGEON
95,10000000059,ASSISTANT
95,62066779638,ASSISTANT
96,98451520706,MAIN_SURGEON
96,10000000035,ASSISTANT
97,77117947422,MAIN_SURGEON
98,82857924186,MAIN_SURGEON
98,10000000044,ASSISTANT
98,50922589695,ASSISTANT
99,67697807470,MAIN_SURGEON
99,10000000026,ASSISTANT
100,67697807470,MAIN_SURGEON
101,44869451267,MAIN_SURGEON
102,33575450249,MAIN_SURGEON
103,51927673524,MAIN_SURGEON
104,45979296668,MAIN_SURGEON
105,55878996856,MAIN_SURGEON
105,10000000031,ASSISTANT
106,51927673524,MAIN_SURGEON
107,83923788555,MAIN_SURGEON
108,32379434579,MAIN_SURGEON
108,10000000063,ASSISTANT
108,62066779638,ASSISTANT
109,90134508778,MAIN_SURGEON
110,92698522280,MAIN_SURGEON
110,10000000036,ASSISTANT
111,53727815147,MAIN_SURGEON
111,10000000028,ASSISTANT
111,56650467990,ASSISTANT
112,13706183648,MAIN_SURGEON
112,10000000052,ASSISTANT
112,36702445480,ASSISTANT
113,90134508778,MAIN_SURGEON
114,33575450249,MAIN_SURGEON
115,52288372388,MAIN_SURGEON
116,30689575097,MAIN_SURGEON
116,10000000050,ASSISTANT
116,60170274590,ASSISTANT
117,20287442157,MAIN_SURGEON
117,10000000043,ASSISTANT
117,90656248238,ASSISTANT
118,60552999461,MAIN_SURGEON
118,10000000050,ASSISTANT
119,74997800957,MAIN_SURGEON
119,10000000062,ASSISTANT
120,53262763012,MAIN_SURGEON
120,10000000051,ASSISTANT
121,91367023329,MAIN_SURGEON
122,94613426776,MAIN_SURGEON
123,75339133780,MAIN_SURGEON
123,10000000037,ASSISTANT
124,53434182353,MAIN_SURGEON
125,13706183648,MAIN_SURGEON
125,10000000078,ASSISTANT
125,81344410739,ASSISTANT
126,32379434579,MAIN_SURGEON
126,10000000025,ASSISTANT
126,62066779638,ASSISTANT
127,20287442157,MAIN_SURGEON
127,10000000021,ASSISTANT
127,75339133780,ASSISTANT
128,99795619901,MAIN_SURGEON
128,10000000015,ASSISTANT
129,22585413484,MAIN_SURGEON
129,10000000074,ASSISTANT
130,52288372388,MAIN_SURGEON
130,10000000019,ASSISTANT
131,96575194408,MAIN_SURGEON
132,19276620746,MAIN_SURGEON
133,30871168286,MAIN_SURGEON
134,67697807470,MAIN_SURGEON
134,10000000061,ASSISTANT
134,20140926142,ASSISTANT
135,84320135602,MAIN_SURGEON
135,10000000079,ASSISTANT
136,50922589695,MAIN_SURGEON
137,53262763012,MAIN_SURGEON
138,30871168286,MAIN_SURGEON
139,45979296668,MAIN_SURGEON
139,10000000019,ASSISTANT
139,51927673524,ASSISTANT
140,55878996856,MAIN_SURGEON
140,10000000044,ASSISTANT
141,98451520706,MAIN_SURGEON
141,10000000039,ASSISTANT
142,89981892222,MAIN_SURGEON
142,10000000048,ASSISTANT
143,35895166626,MAIN_SURGEON
144,22585413484,MAIN_SURGEON
145,62496380045,MAIN_SURGEON
146,56784597458,MAIN_SURGEON
146,10000000015,ASSISTANT
147,52288372388,MAIN_SURGEON
148,22585413484,MAIN_SURGEON
149,27946441835,MAIN_SURGEON
149,10000000036,ASSISTANT
150,55878996856,MAIN_SURGEON
151,53727815147,MAIN_SURGEON
152,19276620746,MAIN_SURGEON
153,98870684482,MAIN_SURGEON
153,10000000051,ASSISTANT
153,21389790404,ASSISTANT
154,41069533517,MAIN_SURGEON
155,74895326292,MAIN_SURGEON
156,84320135602,MAIN_SURGEON
156,10000000034,ASSISTANT
157,56784597458,MAIN_SURGEON
157,10000000015,ASSISTANT
158,52288372388,MAIN_SURGEON
159,35895166626,MAIN_SURGEON
159,10000000070,ASSISTANT
160,30689575097,MAIN_SURGEON
160,10000000072,ASSISTANT
160,60170274590,ASSISTANT
161,38538288127,MAIN_SURGEON
162,15517900330,MAIN_SURGEON
162,10000000066,ASSISTANT
162,37233268274,ASSISTANT
163,74895326292,MAIN_SURGEON
164,30639295654,MAIN_SURGEON
164,10000000072,ASSISTANT
165,39243562439,MAIN_SURGEON
165,10000000054,ASSISTANT
165,40850595762,ASSISTANT
166,98870684482,MAIN_SURGEON
167,67697807470,MAIN_SURGEON
167,10000000064,ASSISTANT
168,39243562439,MAIN_SURGEON
168,10000000004,ASSISTANT
168,40850595762,ASSISTANT
169,51927673524,MAIN_SURGEON
170,40889689402,MAIN_SURGEON
170,10000000002,ASSISTANT
171,56784597458,MAIN_SURGEON
171,10000000079,ASSISTANT
172,33860842912,MAIN_SURGEON
173,82857924186,MAIN_SURGEON
173,10000000004,ASSISTANT
173,41069533517,ASSISTANT
174,81344410739,MAIN_SURGEON
174,10000000030,ASSISTANT
174,83923788555,ASSISTANT
175,47960718664,MAIN_SURGEON
175,10000000033,ASSISTANT
176,56650467990,MAIN_SURGEON
176,10000000040,ASSISTANT
176,62496380045,ASSISTANT
177,57199282441,MAIN_SURGEON
178,60334753081,MAIN_SURGEON
178,10000000059,ASSISTANT
178,37233268274,ASSISTANT
179,96575194408,MAIN_SURGEON
180,31551628292,MAIN_SURGEON
181,67758463500,MAIN_SURGEON
181,10000000008,ASSISTANT
182,92698522280,MAIN_SURGEON
182,10000000068,ASSISTANT
183,94374664371,MAIN_SURGEON
184,62496380045,MAIN_SURGEON
184,10000000036,ASSISTANT
184,62743168874,ASSISTANT
185,60334753081,MAIN_SURGEON
185,10000000045,ASSISTANT
186,62066779638,MAIN_SURGEON
186,10000000031,ASSISTANT
186,18193427864,ASSISTANT
187,82857924186,MAIN_SURGEON
187,10000000025,ASSISTANT
187,50922589695,ASSISTANT
188,22585413484,MAIN_SURGEON
189,37233268274,MAIN_SURGEON
189,10000000029,ASSISTANT
190,65063112418,MAIN_SURGEON
190,10000000023,ASSISTANT
191,35895166626,MAIN_SURGEON
191,10000000003,ASSISTANT
192,32379434579,MAIN_SURGEON
192,10000000076,ASSISTANT
193,15517900330,MAIN_SURGEON
193,10000000000,ASSISTANT
193,60170274590,ASSISTANT
194,99795619901,MAIN_SURGEON
194,10000000020,ASSISTANT
195,57199282441,MAIN_SURGEON
196,36702445480,MAIN_SURGEON
196,10000000059,ASSISTANT
197,91367023329,MAIN_SURGEON
197,10000000039,ASSISTANT
198,41069533517,MAIN_SURGEON
199,20140926142,MAIN_SURGEON
199,10000000032,ASSISTANT
200,60552999461,MAIN_SURGEON
200,10000000032,ASSISTANT
201,52288372388,MAIN_SURGEON
201,10000000030,ASSISTANT
202,44869451267,MAIN_SURGEON
203,33575450249,MAIN_SURGEON
204,81344410739,MAIN_SURGEON
204,10000000052,ASSISTANT
204,97287210691,ASSISTANT
205,13706183648,MAIN_SURGEON
205,10000000042,ASSISTANT
205,36702445480,ASSISTANT
206,98870684482,MAIN_SURGEON
206,10000000035,ASSISTANT
207,31551628292,MAIN_SURGEON
207,10000000016,ASSISTANT
208,94613426776,MAIN_SURGEON
208,10000000003,ASSISTANT
209,47960718664,MAIN_SURGEON
210,85282038277,MAIN_SURGEON
211,90134508778,MAIN_SURGEON
211,10000000068,ASSISTANT
212,31976884284,MAIN_SURGEON
213,80036372124,MAIN_SURGEON
213,10000000062,ASSISTANT
213,85282038277,ASSISTANT
214,77117947422,MAIN_SURGEON
214,10000000050,ASSISTANT
215,53434182353,MAIN_SURGEON
216,30689575097,MAIN_SURGEON
216,10000000001,ASSISTANT
217,18716063973,MAIN_SURGEON
217,10000000046,ASSISTANT
218,98870684482,MAIN_SURGEON
218,10000000024,ASSISTANT
219,21389790404,MAIN_SURGEON
219,10000000026,ASSISTANT
220,56650467990,MAIN_SURGEON
221,73253025603,MAIN_SURGEON
221,10000000042,ASSISTANT
221,20140926142,ASSISTANT
222,60552999461,MAIN_SURGEON
222,10000000025,ASSISTANT
223,30689575097,MAIN_SURGEON
223,10000000045,ASSISTANT
224,95448079151,MAIN_SURGEON
224,10000000031,ASSISTANT
225,98901183989,MAIN_SURGEON
225,10000000011,ASSISTANT
226,60334753081,MAIN_SURGEON
226,10000000070,ASSISTANT
227,18193427864,MAIN_SURGEON
228,40889689402,MAIN_SURGEON
228,10000000046,ASSISTANT
229,81344410739,MAIN_SURGEON
229,10000000045,ASSISTANT
229,33860842912,ASSISTANT
230,65063112418,MAIN_SURGEON
231,22561283452,MAIN_SURGEON
232,44869451267,MAIN_SURGEON
233,40889689402,MAIN_SURGEON
233,10000000033,ASSISTANT
234,15517900330,MAIN_SURGEON
234,10000000049,ASSISTANT
234,37233268274,ASSISTANT
235,60344799227,MAIN_SURGEON
236,22561283452,MAIN_SURGEON
237,50922589695,MAIN_SURGEON
238,30639295654,MAIN_SURGEON
238,10000000046,ASSISTANT
238,32379434579,ASSISTANT
239,80036372124,MAIN_SURGEON
240,18193427864,MAIN_SURGEON
241,90134508778,MAIN_SURGEON
242,30689575097,MAIN_SURGEON
242,10000000077,ASSISTANT
242,98451520706,ASSISTANT
243,35895166626,MAIN_SURGEON
244,84320135602,MAIN_SURGEON
244,10000000008,ASSISTANT
245,48486875122,MAIN_SURGEON
245,10000000023,ASSISTANT
246,96575194408,MAIN_SURGEON
246,10000000018,ASSISTANT
247,31976884284,MAIN_SURGEON
248,77117947422,MAIN_SURGEON
249,82857924186,MAIN_SURGEON
249,10000000034,ASSISTANT
250,33860842912,MAIN_SURGEON
251,81344410739,MAIN_SURGEON
252,33575450249,MAIN_SURGEON
253,67697807470,MAIN_SURGEON
254,44869451267,MAIN_SURGEON
255,95448079151,MAIN_SURGEON
255,10000000074,ASSISTANT
256,53262763012,MAIN_SURGEON
257,53434182353,MAIN_SURGEON
257,10000000025,ASSISTANT
258,67758463500,MAIN_SURGEON
259,31976884284,MAIN_SURGEON
260,22585413484,MAIN_SURGEON
261,35895166626,MAIN_SURGEON
262,78832401220,MAIN_SURGEON
262,10000000016,ASSISTANT
262,89981892222,ASSISTANT
263,20287442157,MAIN_SURGEON
263,10000000032,ASSISTANT
263,75339133780,ASSISTANT
264,51734845697,MAIN_SURGEON
264,10000000074,ASSISTANT
265,94613426776,MAIN_SURGEON
266,21389790404,MAIN_SURGEON
267,62743168874,MAIN_SURGEON
268,51734845697,MAIN_SURGEON
268,10000000024,ASSISTANT
268,82857924186,ASSISTANT
269,15517900330,MAIN_SURGEON
269,10000000041,ASSISTANT
269,30689575097,ASSISTANT
270,31551628292,MAIN_SURGEON
271,99795619901,MAIN_SURGEON
271,10000000053,ASSISTANT
272,53727815147,MAIN_SURGEON
273,46055220563,MAIN_SURGEON
274,60552999461,MAIN_SURGEON
274,10000000078,ASSISTANT
275,45979296668,MAIN_SURGEON
276,73253025603,MAIN_SURGEON
276,10000000069,ASSISTANT
276,20140926142,ASSISTANT
277,74997800957,MAIN_SURGEON
277,10000000077,ASSISTANT
278,83923788555,MAIN_SURGEON
278,10000000070,ASSISTANT
278,94613426776,ASSISTANT
279,22561283452,MAIN_SURGEON
280,44869451267,MAIN_SURGEON
281,98901183989,MAIN_SURGEON
281,10000000049,ASSISTANT
281,99795619901,ASSISTANT
282,74895326292,MAIN_SURGEON
283,35134846364,MAIN_SURGEON
284,48486875122,MAIN_SURGEON
285,67697807470,MAIN_SURGEON
286,19276620746,MAIN_SURGEON
287,30871168286,MAIN_SURGEON
288,74997800957,MAIN_SURGEON
289,67758463500,MAIN_SURGEON
290,52288372388,MAIN_SURGEON
291,67697807470,MAIN_SURGEON
292,67758463500,MAIN_SURGEON
292,10000000058,ASSISTANT
293,52288372388,MAIN_SURGEON
293,10000000039,ASSISTANT
294,13706183648,MAIN_SURGEON
294,10000000015,ASSISTANT
294,36702445480,ASSISTANT
295,97287210691,MAIN_SURGEON
295,10000000030,ASSISTANT
295,31976884284,ASSISTANT
296,35134846364,MAIN_SURGEON
297,92698522280,MAIN_SURGEON
298,60344799227,MAIN_SURGEON
298,10000000011,ASSISTANT
299,20287442157,MAIN_SURGEON
299,10000000049,ASSISTANT
299,84320135602,ASSISTANT
300,53262763012,MAIN_SURGEON
300,10000000057,ASSISTANT
301,60170274590,MAIN_SURGEON
301,10000000011,ASSISTANT
302,91367023329,MAIN_SURGEON
302,10000000064,ASSISTANT
303,92698522280,MAIN_SURGEON
303,10000000002,ASSISTANT
304,31976884284,MAIN_SURGEON
304,10000000000,ASSISTANT
304,33860842912,ASSISTANT
305,60344799227,MAIN_SURGEON
306,90134508778,MAIN_SURGEON
306,10000000026,ASSISTANT
307,60170274590,MAIN_SURGEON
307,10000000031,ASSISTANT
308,95448079151,MAIN_SURGEON
308,10000000027,ASSISTANT
309,18193427864,MAIN_SURGEON
309,10000000012,ASSISTANT
310,90656248238,MAIN_SURGEON
310,10000000066,ASSISTANT
311,15517900330,MAIN_SURGEON
311,10000000073,ASSISTANT
311,60170274590,ASSISTANT
312,33575450249,MAIN_SURGEON
313,35895166626,MAIN_SURGEON
314,33575450249,MAIN_SURGEON
315,85282038277,MAIN_SURGEON
315,10000000067,ASSISTANT
315,96575194408,ASSISTANT
316,60344799227,MAIN_SURGEON
317,91367023329,MAIN_SURGEON
317,10000000005,ASSISTANT
318,47960718664,MAIN_SURGEON
319,38538288127,MAIN_SURGEON
320,62743168874,MAIN_SURGEON
320,10000000013,ASSISTANT
320,94374664371,ASSISTANT
321,97287210691,MAIN_SURGEON
321,10000000020,ASSISTANT
322,51927673524,MAIN_SURGEON
323,53434182353,MAIN_SURGEON
324,18716063973,MAIN_SURGEON
324,10000000073,ASSISTANT
325,94374664371,MAIN_SURGEON
326,31976884284,MAIN_SURGEON
327,78832401220,MAIN_SURGEON
327,10000000038,ASSISTANT
328,47960718664,MAIN_SURGEON
329,92698522280,MAIN_SURGEON
330,53262763012,MAIN_SURGEON
330,10000000071,ASSISTANT
330,51734845697,ASSISTANT
331,38538288127,MAIN_SURGEON
331,10000000008,ASSISTANT
332,65063112418,MAIN_SURGEON
332,10000000027,ASSISTANT
333,62743168874,MAIN_SURGEON
334,55878996856,MAIN_SURGEON
335,38538288127,MAIN_SURGEON
336,95448079151,MAIN_SURGEON
337,56650467990,MAIN_SURGEON
338,31976884284,MAIN_SURGEON
339,47960718664,MAIN_SURGEON
339,10000000019,ASSISTANT
340,53262763012,MAIN_SURGEON
341,45979296668,MAIN_SURGEON
342,74997800957,MAIN_SURGEON
342,10000000012,ASSISTANT
343,46055220563,MAIN_SURGEON
344,27946441835,MAIN_SURGEON
344,10000000042,ASSISTANT
345,40889689402,MAIN_SURGEON
345,10000000028,ASSISTANT
346,56650467990,MAIN_SURGEON
346,10000000056,ASSISTANT
346,62496380045,ASSISTANT
347,78832401220,MAIN_SURGEON
347,10000000019,ASSISTANT
347,89981892222,ASSISTANT
348,60344799227,MAIN_SURGEON
348,10000000066,ASSISTANT
349,50922589695,MAIN_SURGEON
349,10000000026,ASSISTANT
350,53434182353,MAIN_SURGEON
350,10000000021,ASSISTANT
350,67697807470,ASSISTANT
351,60334753081,MAIN_SURGEON
351,10000000009,ASSISTANT
352,80036372124,MAIN_SURGEON
352,10000000007,ASSISTANT
352,85282038277,ASSISTANT
353,82857924186,MAIN_SURGEON
353,10000000020,ASSISTANT
353,30871168286,ASSISTANT
354,40850595762,MAIN_SURGEON
354,10000000002,ASSISTANT
355,98870684482,MAIN_SURGEON
356,94374664371,MAIN_SURGEON
357,57199282441,MAIN_SURGEON
358,62743168874,MAIN_SURGEON
358,10000000027,ASSISTANT
358,94374664371,ASSISTANT
359,50922589695,MAIN_SURGEON
359,10000000023,ASSISTANT
360,39243562439,MAIN_SURGEON
360,10000000000,ASSISTANT
361,99795619901,MAIN_SURGEON
361,10000000006,ASSISTANT
362,98451520706,MAIN_SURGEON
362,10000000076,ASSISTANT
363,35134846364,MAIN_SURGEON
364,55878996856,MAIN_SURGEON
365,20287442157,MAIN_SURGEON
365,10000000062,ASSISTANT
365,75339133780,ASSISTANT
366,96575194408,MAIN_SURGEON
367,36702445480,MAIN_SURGEON
367,10000000039,ASSISTANT
368,96575194408,MAIN_SURGEON
368,10000000039,ASSISTANT
368,37233268274,ASSISTANT
369,77117947422,MAIN_SURGEON
370,90134508778,MAIN_SURGEON
371,84320135602,MAIN_SURGEON
371,10000000041,ASSISTANT
372,96575194408,MAIN_SURGEON
372,10000000064,ASSISTANT
372,60334753081,ASSISTANT
373,67758463500,MAIN_SURGEON
373,10000000041,ASSISTANT
373,82857924186,ASSISTANT
374,53727815147,MAIN_SURGEON
375,15517900330,MAIN_SURGEON
375,10000000041,ASSISTANT
375,60170274590,ASSISTANT
376,95448079151,MAIN_SURGEON
376,10000000045,ASSISTANT
377,13706183648,MAIN_SURGEON
377,10000000043,ASSISTANT
377,97287210691,ASSISTANT
378,56784597458,MAIN_SURGEON
378,10000000056,ASSISTANT
379,20287442157,MAIN_SURGEON
379,10000000076,ASSISTANT
379,75339133780,ASSISTANT
380,90134508778,MAIN_SURGEON
380,10000000005,ASSISTANT
381,21389790404,MAIN_SURGEON
382,33860842912,MAIN_SURGEON
383,19276620746,MAIN_SURGEON
383,10000000022,ASSISTANT
384,18716063973,MAIN_SURGEON
384,10000000038,ASSISTANT
385,73253025603,MAIN_SURGEON
385,10000000033,ASSISTANT
385,51734845697,ASSISTANT
386,98901183989,MAIN_SURGEON
387,51734845697,MAIN_SURGEON
387,10000000042,ASSISTANT
388,57199282441,MAIN_SURGEON
388,10000000065,ASSISTANT
389,60334753081,MAIN_SURGEON
389,10000000006,ASSISTANT
390,73253025603,MAIN_SURGEON
390,10000000036,ASSISTANT
390,20140926142,ASSISTANT
391,35134846364,MAIN_SURGEON
392,48486875122,MAIN_SURGEON
393,35895166626,MAIN_SURGEON
394,98451520706,MAIN_SURGEON
394,10000000075,ASSISTANT
395,22561283452,MAIN_SURGEON
396,45979296668,MAIN_SURGEON
397,57199282441,MAIN_SURGEON
397,10000000066,ASSISTANT
398,19276620746,MAIN_SURGEON
398,10000000070,ASSISTANT
399,74997800957,MAIN_SURGEON
399,10000000030,ASSISTANT
400,30871168286,MAIN_SURGEON
401,18716063973,MAIN_SURGEON
401,10000000003,ASSISTANT
402,19276620746,MAIN_SURGEON
402,10000000012,ASSISTANT
403,33860842912,MAIN_SURGEON
404,78832401220,MAIN_SURGEON
404,10000000009,ASSISTANT
405,60552999461,MAIN_SURGEON
405,10000000007,ASSISTANT
406,89981892222,MAIN_SURGEON
406,10000000010,ASSISTANT
407,46055220563,MAIN_SURGEON
407,10000000077,ASSISTANT
407,53727815147,ASSISTANT
408,56650467990,MAIN_SURGEON
408,10000000004,ASSISTANT
408,62496380045,ASSISTANT
409,18716063973,MAIN_SURGEON
409,10000000078,ASSISTANT
410,82857924186,MAIN_SURGEON
410,10000000075,ASSISTANT
411,50922589695,MAIN_SURGEON
412,39243562439,MAIN_SURGEON
412,10000000046,ASSISTANT
412,40850595762,ASSISTANT
413,78832401220,MAIN_SURGEON
413,10000000047,ASSISTANT
413,89981892222,ASSISTANT
414,94613426776,MAIN_SURGEON
414,10000000048,ASSISTANT
414,75339133780,ASSISTANT
415,31976884284,MAIN_SURGEON
416,89981892222,MAIN_SURGEON
417,20140926142,MAIN_SURGEON
417,10000000067,ASSISTANT
418,98451520706,MAIN_SURGEON
418,10000000013,ASSISTANT
419,30689575097,MAIN_SURGEON
419,10000000001,ASSISTANT
419,60170274590,ASSISTANT
420,94613426776,MAIN_SURGEON
420,10000000042,ASSISTANT
421,53434182353,MAIN_SURGEON
422,18193427864,MAIN_SURGEON
422,10000000065,ASSISTANT
422,80036372124,ASSISTANT
423,31976884284,MAIN_SURGEON
424,13706183648,MAIN_SURGEON
424,10000000016,ASSISTANT
424,36702445480,ASSISTANT
425,48486875122,MAIN_SURGEON
426,98870684482,MAIN_SURGEON
427,27946441835,MAIN_SURGEON
427,10000000009,ASSISTANT
427,55878996856,ASSISTANT
428,21389790404,MAIN_SURGEON
429,73253025603,MAIN_SURGEON
429,10000000072,ASSISTANT
429,20140926142,ASSISTANT
430,41069533517,MAIN_SURGEON
431,53262763012,MAIN_SURGEON
431,10000000076,ASSISTANT
432,40850595762,MAIN_SURGEON
432,10000000014,ASSISTANT
433,78832401220,MAIN_SURGEON
433,10000000019,ASSISTANT
434,89981892222,MAIN_SURGEON
435,15517900330,MAIN_SURGEON
435,10000000058,ASSISTANT
435,60170274590,ASSISTANT
436,60334753081,MAIN_SURGEON
436,10000000053,ASSISTANT
436,37233268274,ASSISTANT
437,35895166626,MAIN_SURGEON
438,65063112418,MAIN_SURGEON
439,39243562439,MAIN_SURGEON
439,10000000014,ASSISTANT
439,40850595762,ASSISTANT
440,22561283452,MAIN_SURGEON
441,98870684482,MAIN_SURGEON
441,10000000072,ASSISTANT
442,91367023329,MAIN_SURGEON
443,44869451267,MAIN_SURGEON
444,40850595762,MAIN_SURGEON
444,10000000014,ASSISTANT
445,46055220563,MAIN_SURGEON
446,41069533517,MAIN_SURGEON
447,38538288127,MAIN_SURGEON
448,35895166626,MAIN_SURGEON
448,10000000023,ASSISTANT
449,62743168874,MAIN_SURGEON
450,94613426776,MAIN_SURGEON
450,10000000032,ASSISTANT
450,75339133780,ASSISTANT
451,95448079151,MAIN_SURGEON
451,10000000052,ASSISTANT
452,15517900330,MAIN_SURGEON
452,10000000044,ASSISTANT
452,60170274590,ASSISTANT
453,38538288127,MAIN_SURGEON
454,60552999461,MAIN_SURGEON
454,10000000045,ASSISTANT
455,39243562439,MAIN_SURGEON
455,10000000006,ASSISTANT
455,40850595762,ASSISTANT
456,74997800957,MAIN_SURGEON
457,13706183648,MAIN_SURGEON
457,10000000076,ASSISTANT
457,36702445480,ASSISTANT
458,94613426776,MAIN_SURGEON
458,10000000029,ASSISTANT
459,33860842912,MAIN_SURGEON
460,53727815147,MAIN_SURGEON
461,62496380045,MAIN_SURGEON
462,82857924186,MAIN_SURGEON
462,10000000000,ASSISTANT
462,30871168286,ASSISTANT
463,21389790404,MAIN_SURGEON
464,47960718664,MAIN_SURGEON
465,90656248238,MAIN_SURGEON
465,10000000037,ASSISTANT
466,91367023329,MAIN_SURGEON
467,73253025603,MAIN_SURGEON
467,10000000022,ASSISTANT
467,20140926142,ASSISTANT
