hosp_id,patient_amka,medical_care,nursing_care,cleanliness,food,overall_experience
235,77560259223,2,2,1,4,4
236,91048487331,2,3,4,4,5
237,30655380478,1,3,3,3,1
238,82069926186,2,2,3,4,1
239,73757238292,3,5,2,4,1
240,46104273577,3,4,3,4,1
241,81706746451,1,2,5,5,4
242,86564797930,5,2,1,1,3
243,30655380478,3,3,4,5,1
244,46812026582,1,5,1,3,5
245,68519847881,5,5,4,2,2
246,40083827631,1,5,4,5,4
247,82222304170,4,5,1,3,3
248,13444119814,1,4,2,4,5
249,19822423053,2,4,3,2,4
250,13578442492,3,3,2,3,4
251,51746273679,1,5,5,1,4
252,83278214895,5,1,1,3,3
253,99832744737,2,4,4,3,2
254,90583591589,3,5,3,5,2
255,79193941824,5,1,3,3,3
256,94804778024,2,4,1,5,2
257,80029940384,5,3,5,1,1
258,80029940384,3,3,2,1,2
259,32181508606,5,2,4,1,1
260,88777792801,5,4,5,2,3
261,54288371049,5,2,5,4,5
262,37997771362,4,5,4,3,1
263,60142664132,2,3,4,1,2
264,51010386800,3,5,1,5,2
265,68916270219,4,2,5,1,4
266,15914109671,1,4,3,3,2
267,79838249029,2,1,2,1,5
268,90973275997,2,3,5,3,2
269,99064254588,2,3,2,3,2
270,67243789496,5,3,4,1,1
271,29869861533,3,3,1,4,1
272,58145615428,3,3,2,2,4
273,33263898781,5,1,4,3,4
274,70772805029,2,5,4,3,2
275,24297420672,5,4,4,1,4
276,60142664132,4,2,5,4,1
277,90907450300,2,1,2,2,1
278,98085604477,4,4,5,3,2
279,16784882349,3,3,2,1,4
280,98085604477,1,1,1,2,3
281,83923601134,1,4,5,2,3
282,60710128556,3,5,3,5,2
283,93904760474,5,3,1,4,1
284,46104273577,3,5,1,2,1
285,36356584813,5,2,1,5,5
286,13578442492,5,2,5,4,5
287,39430819071,1,1,3,3,5
288,70521038594,3,3,3,5,5
289,26646644484,4,2,5,3,1
290,99138936275,2,5,1,3,1
291,93904760474,3,2,1,4,4
292,90907450300,5,5,2,1,5
293,69237465396,1,4,3,3,3
294,79193941824,3,5,4,3,2
295,64696919163,5,4,5,5,1
296,15778787753,3,5,2,5,5
297,78572522733,5,2,5,3,1
298,67243789496,4,4,5,2,4
299,46762883228,1,5,5,5,4
300,46104273577,1,2,3,5,4
301,90877920694,1,3,1,2,4
302,31753001276,5,5,5,1,1
303,11744318225,5,5,2,1,1
304,15778787753,1,2,5,1,4
305,75406843147,2,2,1,5,2
306,90877920694,2,1,3,1,4
307,29450522876,4,3,3,2,5
308,99138936275,1,1,3,5,2
309,90124206333,5,5,1,1,1
310,23206152564,3,2,5,5,4
311,87956752664,5,5,4,2,2
312,33044110184,4,5,1,4,2
313,44060356137,1,3,2,1,4
314,24472724997,3,5,5,5,4
315,99832744737,4,5,5,2,3
316,23752690099,1,5,4,2,2
317,94804778024,5,5,3,2,5
318,93826706493,1,2,1,5,4
319,47997346659,3,3,3,3,5
320,93964239543,3,5,2,5,5
321,14642682175,2,5,2,5,5
322,81706746451,2,3,4,5,3
323,82222304170,1,5,1,2,2
324,81960982018,5,2,2,3,2
325,77560259223,3,1,1,3,2
326,99138936275,3,2,3,3,2
327,47997346659,1,5,4,3,4
328,49287744748,4,2,4,1,3
329,90583591589,5,5,1,5,5
330,88777792801,4,4,4,1,5
331,33380044151,4,3,2,4,3
332,68916270219,1,4,5,5,4
333,79193941824,4,1,5,3,2
334,45302599227,1,2,3,5,3
335,30655380478,3,3,5,2,2
336,32602560891,4,4,3,5,2
337,16716715515,1,4,3,1,5
338,56466512485,4,1,1,4,4
339,19822423053,5,2,4,4,2
340,87966363544,1,5,1,4,2
341,58338345625,4,4,3,3,3
342,96383287869,1,3,5,5,2
343,13666164809,2,1,2,1,2
344,29179888281,3,2,5,4,4
345,36584847761,4,4,3,1,5
346,52610866930,5,5,3,3,4
347,16784882349,4,4,5,5,5
348,13296820689,5,3,2,1,1
349,80313238304,1,5,2,5,2
350,26646644484,3,3,1,2,4
351,76677046089,2,5,2,3,1
352,86564797930,1,3,1,1,1
353,79838249029,1,3,3,4,3
354,46104273577,5,4,5,2,4
355,51010386800,2,4,5,4,1
356,68916270219,1,3,5,1,2
357,23726466207,2,1,5,5,1
358,39430819071,4,1,3,3,4
359,76273240493,5,5,1,3,1
360,42410127541,5,2,4,4,1
361,46762883228,4,1,3,1,3
362,87956752664,1,3,5,1,5
363,68916270219,5,5,4,5,2
364,47734553672,5,4,4,2,4
365,75973661145,3,3,3,1,3
366,97540413322,4,3,3,3,5
367,42410127541,3,4,3,2,3
368,83278214895,1,2,1,1,1
369,49287744748,5,4,3,1,5
370,79695643575,4,1,4,2,4
371,32981302546,3,4,5,4,1
372,32981302546,4,4,4,1,4
373,28604483021,4,2,1,5,4
374,29450522876,1,1,1,3,1
375,99138936275,4,5,1,1,3
376,13666164809,1,2,5,2,1
377,64696919163,1,5,5,4,3
378,51010386800,5,4,1,1,5
379,37624612283,4,2,3,3,4
380,13361231045,1,4,4,4,3
381,68916270219,2,4,1,1,3
382,94804778024,4,4,2,5,5
383,23752690099,5,2,3,1,5
384,69237465396,1,4,5,5,3
385,66041820343,4,2,3,3,1
386,60675545554,2,2,2,1,1
387,64401533943,3,1,1,5,3
388,47007408557,2,4,4,5,2
389,16963648622,3,2,3,3,3
390,92131335755,3,1,3,5,5
391,94455644293,2,4,4,3,5
392,56140410465,3,4,4,2,2
393,86564797930,4,3,1,2,2
394,90583591589,5,2,3,1,1
395,60675545554,1,3,2,2,5
396,16716715515,5,4,5,2,5
397,79193941824,3,5,1,1,1
398,56140410465,4,4,3,5,5
399,52334260261,4,5,4,2,2
400,31753001276,4,2,3,3,1
401,32981302546,2,4,4,3,2
402,93904760474,1,5,3,2,1
403,64696919163,2,5,2,5,2
404,90583591589,3,3,3,1,4
405,80029940384,4,2,1,5,2
406,60892712796,5,2,1,2,3
407,78871328875,4,3,5,4,3
408,64377086337,5,4,4,4,5
409,36024341293,2,5,3,3,1
410,39430819071,1,2,1,2,3
411,56140410465,5,1,4,1,2
412,20821766978,1,3,2,3,5
413,83278214895,3,4,1,2,2
414,52610866930,3,2,2,2,2
415,36584847761,4,5,5,3,3
416,15914109671,5,1,4,4,3
417,70667592099,5,1,3,4,5
418,37712184811,3,5,1,5,2
419,60513785856,5,2,4,1,3
420,24297420672,4,1,5,2,3
421,90877920694,2,5,2,1,2
422,58145615428,2,2,1,4,1
423,30637169297,3,2,1,4,4
424,87966363544,2,5,3,3,4
425,58338345625,1,4,2,2,1
426,82646811210,1,3,3,4,3
427,32602560891,4,1,4,2,5
428,64377086337,1,4,2,1,1
429,83278214895,3,3,5,3,2
430,31753001276,4,2,3,2,3
431,33211322359,2,3,4,1,1
432,96383287869,5,2,4,1,4
433,44060356137,4,2,1,2,4
434,78572522733,3,5,2,1,4
435,56186517766,1,5,4,2,5
436,15177314527,5,1,2,5,5
437,86564797930,2,4,1,3,1
438,60142664132,5,2,5,1,3
439,75973661145,1,2,1,3,1
440,36472981413,1,3,4,2,3
441,17326715196,1,4,3,1,3
442,47734553672,4,1,5,2,4
443,37997771362,1,4,3,1,5
444,74229039891,5,1,2,1,5
445,52610866930,2,5,4,1,4
446,55469341762,4,1,3,2,3
447,73050978275,4,4,5,4,2
448,54288371049,5,3,5,4,3
449,97562086883,5,4,2,2,4
450,90124206333,5,5,4,3,3
451,69918743476,2,5,5,5,3
452,97114574026,1,1,3,2,3
453,34375838574,3,3,4,2,4
454,37624612283,1,1,5,5,2
455,64401533943,3,1,1,3,3
456,58338345625,2,3,4,5,1
457,29770533417,5,5,3,3,5
458,15778787753,5,3,1,4,2
459,55469341762,5,3,3,4,1
460,64696919163,1,2,5,4,3
461,74239645514,3,5,2,4,5
462,23752690099,2,5,2,4,3
463,32981302546,5,2,1,1,2
464,70873138282,2,4,5,3,1
465,58145615428,5,1,2,2,4
466,40107859093,4,3,3,3,3
467,33211322359,4,2,4,5,5
468,66756898100,3,5,1,3,3
469,21354669087,5,1,5,2,2
470,82222304170,4,5,1,5,1
471,44060356137,2,2,1,5,3
472,46104273577,5,4,2,4,2
473,80029940384,2,5,4,1,1
474,15679628443,1,4,5,4,2
475,51010386800,4,2,4,4,2
476,33857231431,5,5,3,4,5
477,82152244235,1,2,2,5,5
478,46812026582,5,1,4,4,3
479,10675006956,5,2,2,4,2
480,13444119814,3,2,3,5,5
481,66041820343,1,2,2,1,3
482,37712184811,5,5,4,2,3
483,52575000527,2,4,2,1,2
484,73757238292,2,3,2,4,1
485,13666164809,2,2,5,2,4
486,97540413322,2,1,3,3,1
487,75973661145,2,4,2,1,2
488,99832744737,1,1,1,2,2
489,26646644484,1,4,5,4,4
490,94455644293,1,2,4,3,3
491,12633175052,3,3,1,4,5
492,96763184814,4,5,1,2,1
493,41260611685,1,3,5,1,3
494,80997555070,2,5,4,4,5
495,80313238304,3,5,3,2,4
496,13444119814,2,4,4,3,4
497,15177314527,4,5,2,5,2
498,69470469937,1,2,4,5,2
499,36024341293,4,4,1,3,2
500,94455644293,2,1,4,5,4
