UnknownTable
---
| total_cost | total_additional_cost | total_base_cost | dept_name | year | insurance | ken_code | 
| 4807.00 | 3451.00 | 1356.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Ο04Α | 
| 3529.00 | 0.00 | 5777.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Σ02Μ | 
| 1777.00 | 0.00 | 7359.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ23Α | 
| 2803.00 | 1159.00 | 1644.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ26Μγ | 
| 4220.00 | 3636.00 | 584.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Υ20Χ | 
| 3209.00 | 2135.00 | 1074.00 | Δερματολογικό | 2026 | Ανασφάλιστος | Θ23Μ | 
| 9486.00 | 8232.00 | 1254.00 | Δερματολογικό | 2026 | Ανασφάλιστος | Κ38Χ | 
| 3239.00 | 0.00 | 10357.00 | Δερματολογικό | 2026 | Ανασφάλιστος | Τ05Α | 
| 1776.00 | 0.00 | 5818.00 | Δερματολογικό | 2026 | Ανασφάλιστος | Τ24Α | 
| 4103.00 | 0.00 | 4627.00 | Δερματολογικό | 2026 | ΕΦΚΑ | Α10Χ | 
| 4958.00 | 1185.00 | 3773.00 | Δερματολογικό | 2026 | ΕΦΚΑ | Ρ24Μα | 
| 3747.00 | 0.00 | 30725.00 | Δερματολογικό | 2026 | ΕΦΚΑ | Τ22Α | 
| 3785.00 | 0.00 | 5354.00 | Δερματολογικό | 2026 | Ιδιωτική Ασφάλεια | Κ07Χ | 
| 2929.00 | 37.00 | 2892.00 | Δερματολογικό | 2026 | Ιδιωτική Ασφάλεια | Κ17Μ | 
| 2290.00 | 0.00 | 5818.00 | Δερματολογικό | 2026 | Ιδιωτική Ασφάλεια | Τ24Α | 
| 3641.00 | 0.00 | 30015.00 | Επειγόντων Περιστατικών | 2025 | Ανασφάλιστος | Ε04Α | 
| 3427.00 | 0.00 | 6295.00 | Επειγόντων Περιστατικών | 2025 | Ανασφάλιστος | Κ30Μ | 
| 1841.00 | 0.00 | 2864.00 | Επειγόντων Περιστατικών | 2025 | Ανασφάλιστος | Μ25Μ | 
| 1064.00 | 0.00 | 2179.00 | Επειγόντων Περιστατικών | 2025 | Ανασφάλιστος | Μ27Μ | 
| 3291.00 | 855.00 | 2436.00 | Επειγόντων Περιστατικών | 2025 | Ανασφάλιστος | Μ66Μ | 
| 4715.00 | 4063.00 | 652.00 | Επειγόντων Περιστατικών | 2025 | Ανασφάλιστος | Μ66Χ | 
| 4316.00 | 2993.00 | 1323.00 | Επειγόντων Περιστατικών | 2025 | Ανασφάλιστος | Μ71Μ | 
| 4162.00 | 3757.00 | 405.00 | Επειγόντων Περιστατικών | 2025 | Ανασφάλιστος | Μ75Χ | 
| 3898.00 | 0.00 | 7359.00 | Επειγόντων Περιστατικών | 2025 | Ανασφάλιστος | Τ23Α | 
| 5915.00 | 3569.00 | 2346.00 | Επειγόντων Περιστατικών | 2025 | Ανασφάλιστος | Τ26Μβ | 
| 1897.00 | 772.00 | 1125.00 | Επειγόντων Περιστατικών | 2025 | Ανασφάλιστος | Ω06Α | 
| 1889.00 | 0.00 | 2964.00 | Επειγόντων Περιστατικών | 2025 | ΕΦΚΑ | Γ01Α | 
| 5501.00 | 0.00 | 6611.00 | Επειγόντων Περιστατικών | 2025 | ΕΦΚΑ | Μ04Χ | 
| 2743.00 | 1257.00 | 1486.00 | Επειγόντων Περιστατικών | 2025 | ΕΦΚΑ | Ν36Μ | 
| 5039.00 | 0.00 | 41579.00 | Επειγόντων Περιστατικών | 2025 | ΕΦΚΑ | Τ21Α | 
| 2948.00 | 0.00 | 14718.00 | Επειγόντων Περιστατικών | 2025 | ΕΦΚΑ | Τ23Α | 
| 2415.00 | 0.00 | 3158.00 | Επειγόντων Περιστατικών | 2025 | ΕΦΚΑ | Τ25Μγ | 
| 4670.00 | 3145.00 | 1525.00 | Επειγόντων Περιστατικών | 2025 | Ιδιωτική Ασφάλεια | Γ04Χ | 
| 3691.00 | 3030.00 | 661.00 | Επειγόντων Περιστατικών | 2025 | Ιδιωτική Ασφάλεια | Μ23Α | 
| 1384.00 | 674.00 | 710.00 | Επειγόντων Περιστατικών | 2025 | Ιδιωτική Ασφάλεια | Μ24Α | 
| 5073.00 | 4645.00 | 428.00 | Επειγόντων Περιστατικών | 2025 | Ιδιωτική Ασφάλεια | Μ69Χ | 
| 2816.00 | 2304.00 | 512.00 | Επειγόντων Περιστατικών | 2025 | Ιδιωτική Ασφάλεια | Τ20Χ | 
| 3595.00 | 0.00 | 7359.00 | Επειγόντων Περιστατικών | 2025 | Ιδιωτική Ασφάλεια | Τ23Α | 
| 1739.00 | 383.00 | 1356.00 | Επειγόντων Περιστατικών | 2026 | Ανασφάλιστος | Ο04Α | 
| 2080.00 | 0.00 | 7359.00 | Επειγόντων Περιστατικών | 2026 | Ανασφάλιστος | Τ23Α | 
| 6150.00 | 5745.00 | 405.00 | Επειγόντων Περιστατικών | 2026 | Ανασφάλιστος | Υ25Χ | 
| 4833.00 | 688.00 | 4145.00 | Επειγόντων Περιστατικών | 2026 | ΕΦΚΑ | Τ25Μβ | 
| 4262.00 | 0.00 | 9606.00 | Επειγόντων Περιστατικών | 2026 | Ιδιωτική Ασφάλεια | Μ01Χ | 
| 5020.00 | 4776.00 | 244.00 | Επειγόντων Περιστατικών | 2026 | Ιδιωτική Ασφάλεια | Τ20Μ | 
| 3272.00 | 0.00 | 4145.00 | Επειγόντων Περιστατικών | 2026 | Ιδιωτική Ασφάλεια | Τ25Μβ | 
| 5500.00 | 0.00 | 28907.00 | Καρδιολογικό | 2024 | Ανασφάλιστος | Ε01Α | 
| 20600.00 | 0.00 | 115628.00 | Καρδιολογικό | 2024 | Ιδιωτική Ασφάλεια | Ε01Α | 
| 9000.00 | 2814.00 | 6186.00 | Καρδιολογικό | 2025 | Ανασφάλιστος | Γ04Μ | 
| 5500.00 | 0.00 | 28907.00 | Καρδιολογικό | 2025 | Ανασφάλιστος | Ε01Α | 
| 3608.00 | 0.00 | 4166.00 | Καρδιολογικό | 2025 | Ανασφάλιστος | Κ10Μ | 
| 4743.00 | 4116.00 | 627.00 | Καρδιολογικό | 2025 | Ανασφάλιστος | Κ38Χ | 
| 838.00 | 433.00 | 405.00 | Καρδιολογικό | 2025 | Ανασφάλιστος | Μ71Χ | 
| 3209.00 | 960.00 | 2249.00 | Καρδιολογικό | 2025 | Ανασφάλιστος | Μ73Μ | 
| 3564.00 | 2428.00 | 1136.00 | Καρδιολογικό | 2025 | Ανασφάλιστος | Π50Μ | 
| 3736.00 | 0.00 | 5872.00 | Καρδιολογικό | 2025 | Ανασφάλιστος | Τ25Μα | 
| 3000.00 | 938.00 | 2062.00 | Καρδιολογικό | 2025 | ΕΦΚΑ | Γ04Μ | 
| 2931.00 | 207.00 | 2724.00 | Καρδιολογικό | 2025 | ΕΦΚΑ | Κ10Χ | 
| 2626.00 | 0.00 | 6295.00 | Καρδιολογικό | 2025 | ΕΦΚΑ | Κ30Μ | 
| 1776.00 | 0.00 | 5818.00 | Καρδιολογικό | 2025 | ΕΦΚΑ | Τ24Α | 
| 6321.00 | 3245.00 | 3076.00 | Καρδιολογικό | 2025 | ΕΦΚΑ | Τ27Μα | 
| 3000.00 | 938.00 | 2062.00 | Καρδιολογικό | 2025 | Ιδιωτική Ασφάλεια | Γ04Μ | 
| 20600.00 | 0.00 | 115628.00 | Καρδιολογικό | 2025 | Ιδιωτική Ασφάλεια | Ε01Α | 
| 2441.00 | 0.00 | 20597.00 | Καρδιολογικό | 2025 | Ιδιωτική Ασφάλεια | Ε06Χα | 
| 1893.00 | 0.00 | 15429.00 | Καρδιολογικό | 2025 | Ιδιωτική Ασφάλεια | Κ03Μ | 
| 3872.00 | 3561.00 | 311.00 | Καρδιολογικό | 2025 | Ιδιωτική Ασφάλεια | Κ44Α | 
| 6853.00 | 6425.00 | 428.00 | Καρδιολογικό | 2025 | Ιδιωτική Ασφάλεια | Μ69Χ | 
| 2063.00 | 0.00 | 3720.00 | Καρδιολογικό | 2025 | Ιδιωτική Ασφάλεια | Ν12Χ | 
| 4201.00 | 0.00 | 7359.00 | Καρδιολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ23Α | 
| 4958.00 | 2612.00 | 2346.00 | Καρδιολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ26Μβ | 
| 12000.00 | 3752.00 | 8248.00 | Καρδιολογικό | 2026 | Ανασφάλιστος | Γ04Μ | 
| 5277.00 | 4131.00 | 1146.00 | Καρδιολογικό | 2026 | Ανασφάλιστος | Κ18Χ | 
| 1265.00 | 0.00 | 1494.00 | Καρδιολογικό | 2026 | Ανασφάλιστος | Κ21Χ | 
| 3570.00 | 3243.00 | 327.00 | Καρδιολογικό | 2026 | Ανασφάλιστος | Κ39Χ | 
| 4185.00 | 0.00 | 6307.00 | Καρδιολογικό | 2026 | Ανασφάλιστος | Μ03Μ | 
| 3558.00 | 1914.00 | 1644.00 | Καρδιολογικό | 2026 | Ανασφάλιστος | Τ26Μγ | 
| 3000.00 | 938.00 | 2062.00 | Καρδιολογικό | 2026 | ΕΦΚΑ | Γ04Μ | 
| 6899.00 | 6424.00 | 475.00 | Καρδιολογικό | 2026 | ΕΦΚΑ | Γ21Α | 
| 1987.00 | 189.00 | 1798.00 | Καρδιολογικό | 2026 | Ιδιωτική Ασφάλεια | Α31Μ | 
| 3000.00 | 938.00 | 2062.00 | Καρδιολογικό | 2026 | Ιδιωτική Ασφάλεια | Γ04Μ | 
| 2048.00 | 404.00 | 1644.00 | Καρδιολογικό | 2026 | Ιδιωτική Ασφάλεια | Τ26Μγ | 
| 6380.00 | 4233.00 | 2147.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Γ05Μ | 
| 4684.00 | 3579.00 | 1105.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Δ25Μ | 
| 2419.00 | 1026.00 | 1393.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Θ22Μ | 
| 5738.00 | 1572.00 | 4166.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Κ10Μ | 
| 3823.00 | 2539.00 | 1284.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Κ38Μ | 
| 4336.00 | 3892.00 | 444.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Κ46Χ | 
| 5477.00 | 0.00 | 9110.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Μ02Μ | 
| 4742.00 | 0.00 | 5478.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Μ12Μα | 
| 5743.00 | 5082.00 | 661.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Μ23Α | 
| 6542.00 | 0.00 | 9963.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Μ32Μβ | 
| 3762.00 | 3412.00 | 350.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Μ74Α | 
| 3658.00 | 3066.00 | 592.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Ο16Α | 
| 2528.00 | 0.00 | 11997.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Τ04Α | 
| 4568.00 | 4324.00 | 244.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Τ20Μ | 
| 4927.00 | 0.00 | 41579.00 | ΜΕΘ | 2025 | Ανασφάλιστος | Τ21Α | 
| 4185.00 | 2520.00 | 1665.00 | ΜΕΘ | 2025 | ΕΦΚΑ | Μ12Χ | 
| 2816.00 | 2304.00 | 512.00 | ΜΕΘ | 2025 | ΕΦΚΑ | Τ20Χ | 
| 4703.00 | 0.00 | 41579.00 | ΜΕΘ | 2025 | ΕΦΚΑ | Τ21Α | 
| 3966.00 | 0.00 | 15429.00 | ΜΕΘ | 2025 | Ιδιωτική Ασφάλεια | Κ03Μ | 
| 3732.00 | 3105.00 | 627.00 | ΜΕΘ | 2025 | Ιδιωτική Ασφάλεια | Κ38Χ | 
| 3000.00 | 1755.00 | 1245.00 | ΜΕΘ | 2025 | Ιδιωτική Ασφάλεια | Κ46Μ | 
| 3238.00 | 0.00 | 14720.00 | ΜΕΘ | 2025 | Ιδιωτική Ασφάλεια | Μ09Μ | 
| 3049.00 | 839.00 | 2210.00 | ΜΕΘ | 2025 | Ιδιωτική Ασφάλεια | Μ61Μ | 
| 3313.00 | 0.00 | 5390.00 | ΜΕΘ | 2025 | Ιδιωτική Ασφάλεια | Ν12Μ | 
| 3890.00 | 3646.00 | 244.00 | ΜΕΘ | 2025 | Ιδιωτική Ασφάλεια | Τ20Μ | 
| 5151.00 | 0.00 | 41579.00 | ΜΕΘ | 2025 | Ιδιωτική Ασφάλεια | Τ21Α | 
| 3898.00 | 0.00 | 7359.00 | ΜΕΘ | 2025 | Ιδιωτική Ασφάλεια | Τ23Α | 
| 1776.00 | 0.00 | 5818.00 | ΜΕΘ | 2026 | Ανασφάλιστος | Τ24Α | 
| 3815.00 | 2570.00 | 1245.00 | ΜΕΘ | 2026 | Ιδιωτική Ασφάλεια | Κ46Μ | 
| 4567.00 | 3186.00 | 1381.00 | ΜΕΘ | 2026 | Ιδιωτική Ασφάλεια | Τ01Α | 
| 2816.00 | 2304.00 | 512.00 | ΜΕΘ | 2026 | Ιδιωτική Ασφάλεια | Τ20Χ | 
| 2928.00 | 1979.00 | 949.00 | Μικροβιολογικό | 2025 | Ανασφάλιστος | Α25Χ | 
| 6380.00 | 4233.00 | 2147.00 | Μικροβιολογικό | 2025 | Ανασφάλιστος | Γ05Μ | 
| 3641.00 | 0.00 | 10017.00 | Μικροβιολογικό | 2025 | Ανασφάλιστος | Ε08Μ | 
| 5083.00 | 4826.00 | 257.00 | Μικροβιολογικό | 2025 | Ανασφάλιστος | Λ26Α | 
| 6863.00 | 0.00 | 9606.00 | Μικροβιολογικό | 2025 | Ανασφάλιστος | Μ01Χ | 
| 5641.00 | 0.00 | 9110.00 | Μικροβιολογικό | 2025 | Ανασφάλιστος | Μ02Μ | 
| 5218.00 | 4813.00 | 405.00 | Μικροβιολογικό | 2025 | Ανασφάλιστος | Μ75Χ | 
| 904.00 | 0.00 | 1073.00 | Μικροβιολογικό | 2025 | Ανασφάλιστος | Π44Χ | 
| 12300.00 | 11812.00 | 488.00 | Μικροβιολογικό | 2025 | Ανασφάλιστος | Τ20Μ | 
| 3371.00 | 2859.00 | 512.00 | Μικροβιολογικό | 2025 | Ανασφάλιστος | Τ20Χ | 
| 3876.00 | 0.00 | 30725.00 | Μικροβιολογικό | 2025 | Ανασφάλιστος | Τ22Α | 
| 1776.00 | 0.00 | 5818.00 | Μικροβιολογικό | 2025 | Ανασφάλιστος | Τ24Α | 
| 1267.00 | 349.00 | 918.00 | Μικροβιολογικό | 2025 | Ανασφάλιστος | Τ27Μγ | 
| 1878.00 | 0.00 | 2171.00 | Μικροβιολογικό | 2025 | ΕΦΚΑ | Δ29Μ | 
| 3732.00 | 3105.00 | 627.00 | Μικροβιολογικό | 2025 | ΕΦΚΑ | Κ38Χ | 
| 4308.00 | 2853.00 | 1455.00 | Μικροβιολογικό | 2025 | ΕΦΚΑ | Μ75Μ | 
| 6593.00 | 6154.00 | 439.00 | Μικροβιολογικό | 2025 | ΕΦΚΑ | Ν05Α | 
| 2709.00 | 0.00 | 5777.00 | Μικροβιολογικό | 2025 | ΕΦΚΑ | Σ02Μ | 
| 4604.00 | 822.00 | 3782.00 | Μικροβιολογικό | 2025 | ΕΦΚΑ | Σ21Μ | 
| 4255.00 | 0.00 | 41579.00 | Μικροβιολογικό | 2025 | ΕΦΚΑ | Τ21Α | 
| 1776.00 | 0.00 | 5818.00 | Μικροβιολογικό | 2025 | ΕΦΚΑ | Τ24Α | 
| 3288.00 | 0.00 | 16215.00 | Μικροβιολογικό | 2025 | Ιδιωτική Ασφάλεια | Κ01Μ | 
| 4800.00 | 3654.00 | 1146.00 | Μικροβιολογικό | 2025 | Ιδιωτική Ασφάλεια | Κ18Χ | 
| 4536.00 | 0.00 | 5478.00 | Μικροβιολογικό | 2025 | Ιδιωτική Ασφάλεια | Μ12Μα | 
| 3533.00 | 1323.00 | 2210.00 | Μικροβιολογικό | 2025 | Ιδιωτική Ασφάλεια | Μ61Μ | 
| 6402.00 | 0.00 | 11554.00 | Μικροβιολογικό | 2025 | Ιδιωτική Ασφάλεια | Σ02Μ | 
| 5100.00 | 1318.00 | 3782.00 | Μικροβιολογικό | 2025 | Ιδιωτική Ασφάλεια | Σ21Μ | 
| 5037.00 | 0.00 | 30725.00 | Μικροβιολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ22Α | 
