Doctor
---
| doctor_id | doctor_name | doctor_surname | supervisor_id | supervisor_name | supervisor_surname | rank | hierarchy_level | 
| 55878996856 | Γεωργία | Παπαδόπουλου | 60334753081 | Κώστας | Αγγελόπουλος | SENIOR_ATTENDING | 2 | 
| 55878996856 | Γεωργία | Παπαδόπουλου | 92698522280 | Άννα | Ιωάννου | DIRECTOR | 3 | 
| 56650467990 | Κατερίνα | Παππάς | 51927673524 | Παναγιώτης | Καραγιάννης | JUNIOR_ATTENDING | 1 | 
| 56650467990 | Κατερίνα | Παππάς | 80036372124 | Βασιλική | Μακρής | SENIOR_ATTENDING | 2 | 
| 56650467990 | Κατερίνα | Παππάς | 33860842912 | Παναγιώτης | Αγγελόπουλος | DIRECTOR | 3 | 
| 57199282441 | Άννα | Κωστόπουλου | 60552999461 | Σοφία | Μακρής | JUNIOR_ATTENDING | 1 | 
| 57199282441 | Άννα | Κωστόπουλου | 60334753081 | Κώστας | Αγγελόπουλος | SENIOR_ATTENDING | 2 | 
| 57199282441 | Άννα | Κωστόπουλου | 92698522280 | Άννα | Ιωάννου | DIRECTOR | 3 | 
| 60170274590 | Θανάσης | Βασιλείου | 90656248238 | Νίκος | Διαμαντής | SENIOR_ATTENDING | 1 | 
| 60170274590 | Θανάσης | Βασιλείου | 36702445480 | Μαρία | Σταματόπουλου | DIRECTOR | 2 | 
| 60334753081 | Κώστας | Αγγελόπουλος | 92698522280 | Άννα | Ιωάννου | DIRECTOR | 1 | 
| 60552999461 | Σοφία | Μακρής | 60334753081 | Κώστας | Αγγελόπουλος | SENIOR_ATTENDING | 1 | 
| 60552999461 | Σοφία | Μακρής | 92698522280 | Άννα | Ιωάννου | DIRECTOR | 2 | 
| 62066779638 | Παναγιώτης | Γεωργίου | 81344410739 | Γεωργία | Μακρής | DIRECTOR | 1 | 
| 62496380045 | Δήμητρα | Παπαδάκη | 53434182353 | Νίκος | Αγγελόπουλος | JUNIOR_ATTENDING | 1 | 
| 62496380045 | Δήμητρα | Παπαδάκη | 18193427864 | Γιώργος | Κωστόπουλος | SENIOR_ATTENDING | 2 | 
| 62496380045 | Δήμητρα | Παπαδάκη | 33860842912 | Παναγιώτης | Αγγελόπουλος | DIRECTOR | 3 | 
| 62743168874 | Βασιλική | Λάσκαρη | 67697807470 | Θανάσης | Γεωργίου | JUNIOR_ATTENDING | 1 | 
| 62743168874 | Βασιλική | Λάσκαρη | 18193427864 | Γιώργος | Κωστόπουλος | SENIOR_ATTENDING | 2 | 
| 62743168874 | Βασιλική | Λάσκαρη | 33860842912 | Παναγιώτης | Αγγελόπουλος | DIRECTOR | 3 | 
| 65063112418 | Δημήτρης | Καραγιάννης | 47960718664 | Γιάννης | Γεωργίου | SENIOR_ATTENDING | 1 | 
| 65063112418 | Δημήτρης | Καραγιάννης | 19276620746 | Βασίλης | Παπαδάκης | DIRECTOR | 2 | 
| 67697807470 | Θανάσης | Γεωργίου | 18193427864 | Γιώργος | Κωστόπουλος | SENIOR_ATTENDING | 1 | 
| 67697807470 | Θανάσης | Γεωργίου | 33860842912 | Παναγιώτης | Αγγελόπουλος | DIRECTOR | 2 | 
| 67758463500 | Κώστας | Παπαδόπουλος | 95448079151 | Γιώργος | Παππάς | JUNIOR_ATTENDING | 1 | 
| 67758463500 | Κώστας | Παπαδόπουλος | 77117947422 | Παναγιώτης | Παππάς | SENIOR_ATTENDING | 2 | 
| 67758463500 | Κώστας | Παπαδόπουλος | 19276620746 | Βασίλης | Παπαδάκης | DIRECTOR | 3 | 
| 73253025603 | Κατερίνα | Παππάς | 89981892222 | Ελένη | Παπαδάκη | JUNIOR_ATTENDING | 1 | 
| 73253025603 | Κατερίνα | Παππάς | 20287442157 | Βασίλης | Γεωργίου | SENIOR_ATTENDING | 2 | 
| 73253025603 | Κατερίνα | Παππάς | 13706183648 | Δημήτρης | Λάσκαρης | DIRECTOR | 3 | 
| 74895326292 | Μαρία | Νικολάου | 21389790404 | Γιώργος | Δημητρίου | DIRECTOR | 1 | 
| 74997800957 | Κώστας | Νικολάου | 35895166626 | Γιώργος | Δημητρίου | JUNIOR_ATTENDING | 1 | 
| 74997800957 | Κώστας | Νικολάου | 91367023329 | Γιάννης | Λάσκαρης | SENIOR_ATTENDING | 2 | 
| 74997800957 | Κώστας | Νικολάου | 60344799227 | Σοφία | Αγγελόπουλου | DIRECTOR | 3 | 
| 75339133780 | Άννα | Νικολάου | 36702445480 | Μαρία | Σταματόπουλου | DIRECTOR | 1 | 
| 77117947422 | Παναγιώτης | Παππάς | 19276620746 | Βασίλης | Παπαδάκης | DIRECTOR | 1 | 
| 78832401220 | Γεωργία | Γεωργίου | 62066779638 | Παναγιώτης | Γεωργίου | SENIOR_ATTENDING | 1 | 
| 78832401220 | Γεωργία | Γεωργίου | 81344410739 | Γεωργία | Μακρής | DIRECTOR | 2 | 
| 80036372124 | Βασιλική | Μακρής | 33860842912 | Παναγιώτης | Αγγελόπουλος | DIRECTOR | 1 | 
| 82857924186 | Κατερίνα | Παπαδάκη | 37233268274 | Βασιλική | Κωστόπουλου | JUNIOR_ATTENDING | 1 | 
| 82857924186 | Κατερίνα | Παπαδάκη | 90656248238 | Νίκος | Διαμαντής | SENIOR_ATTENDING | 2 | 
| 82857924186 | Κατερίνα | Παπαδάκη | 36702445480 | Μαρία | Σταματόπουλου | DIRECTOR | 3 | 
| 84320135602 | Δήμητρα | Αγγελόπουλου | 56784597458 | Μιχάλης | Παπαδάκης | DIRECTOR | 1 | 
| 85282038277 | Αγγελική | Αγγελόπουλου | 83923788555 | Ιωάννα | Παπαδόπουλου | DIRECTOR | 1 | 
| 89981892222 | Ελένη | Παπαδάκη | 20287442157 | Βασίλης | Γεωργίου | SENIOR_ATTENDING | 1 | 
| 89981892222 | Ελένη | Παπαδάκη | 13706183648 | Δημήτρης | Λάσκαρης | DIRECTOR | 2 | 
| 90134508778 | Ελένη | Παππάς | 21389790404 | Γιώργος | Δημητρίου | DIRECTOR | 1 | 
| 90656248238 | Νίκος | Διαμαντής | 36702445480 | Μαρία | Σταματόπουλου | DIRECTOR | 1 | 
| 91367023329 | Γιάννης | Λάσκαρης | 60344799227 | Σοφία | Αγγελόπουλου | DIRECTOR | 1 | 
| 94374664371 | Νίκος | Μακρής | 53434182353 | Νίκος | Αγγελόπουλος | JUNIOR_ATTENDING | 1 | 
| 94374664371 | Νίκος | Μακρής | 18193427864 | Γιώργος | Κωστόπουλος | SENIOR_ATTENDING | 2 | 
| 94374664371 | Νίκος | Μακρής | 33860842912 | Παναγιώτης | Αγγελόπουλος | DIRECTOR | 3 | 
| 95448079151 | Γιώργος | Παππάς | 77117947422 | Παναγιώτης | Παππάς | SENIOR_ATTENDING | 1 | 
| 95448079151 | Γιώργος | Παππάς | 19276620746 | Βασίλης | Παπαδάκης | DIRECTOR | 2 | 
| 96575194408 | Βασίλης | Παπαδάκης | 31976884284 | Μιχάλης | Σταματόπουλος | DIRECTOR | 1 | 
| 98451520706 | Σοφία | Βασιλείου | 75339133780 | Άννα | Νικολάου | SENIOR_ATTENDING | 1 | 
| 98451520706 | Σοφία | Βασιλείου | 36702445480 | Μαρία | Σταματόπουλου | DIRECTOR | 2 | 
| 98901183989 | Αγγελική | Μακρής | 62066779638 | Παναγιώτης | Γεωργίου | SENIOR_ATTENDING | 1 | 
| 98901183989 | Αγγελική | Μακρής | 81344410739 | Γεωργία | Μακρής | DIRECTOR | 2 | 
| 99795619901 | Θανάσης | Καραγιάννης | 30639295654 | Θανάσης | Σταματόπουλος | SENIOR_ATTENDING | 1 | 
| 99795619901 | Θανάσης | Καραγιάννης | 81344410739 | Γεωργία | Μακρής | DIRECTOR | 2 | 
