staff
---
| amka | name | surname | age | email | phone | hire_date | type | 
| 65063112418 | Δημήτρης | Καραγιάννης | 58 | jbrundrett1l@gnu.org | 6938287411 | 2019-05-03 14:21:11 | DOCTOR | 
| 67697807470 | Θανάσης | Γεωργίου | 39 | shumann@barnesandnoble.com | 6973858398 | 2002-04-27 02:42:54 | DOCTOR | 
| 67758463500 | Κώστας | Παπαδόπουλος | 33 | slapreq@blogs.com | 6971522562 | 1999-02-04 11:57:11 | DOCTOR | 
| 73253025603 | Κατερίνα | Παππάς | 33 | lstobod@answers.com | 6972761194 | 1998-03-06 03:46:45 | DOCTOR | 
| 74895326292 | Μαρία | Νικολάου | 25 | dingef@ow.ly | 6927070659 | 1996-12-06 10:59:06 | DOCTOR | 
| 74997800957 | Κώστας | Νικολάου | 43 | dstpaulm@google.es | 6903674234 | 2005-06-26 19:33:05 | DOCTOR | 
| 75339133780 | Άννα | Νικολάου | 36 | eokellyu@gizmodo.com | 6998575195 | 2003-03-21 11:33:28 | DOCTOR | 
| 77117947422 | Παναγιώτης | Παππάς | 41 | delecumc@ycombinator.com | 6936768554 | 2005-08-14 00:55:06 | DOCTOR | 
| 78832401220 | Γεωργία | Γεωργίου | 59 | igiannazzit@admin.ch | 6927238478 | 2007-09-16 07:16:31 | DOCTOR | 
| 80036372124 | Βασιλική | Μακρής | 65 | cstuart6@dot.gov | 6956354715 | 2016-09-26 11:07:09 | DOCTOR | 
| 81344410739 | Γεωργία | Μακρής | 48 | cwrout13@51.la | 6980234837 | 1993-12-21 20:23:46 | DOCTOR | 
| 82857924186 | Κατερίνα | Παπαδάκη | 54 | abasden26@canalblog.com | 6945109646 | 2001-10-30 07:12:30 | DOCTOR | 
| 83923788555 | Ιωάννα | Παπαδόπουλου | 37 | bhyndes22@simplemachines.org | 6949160342 | 2010-01-09 08:52:36 | DOCTOR | 
| 89981892222 | Ελένη | Παπαδάκη | 67 | eboram23@wikipedia.org | 6958639115 | 2018-06-30 15:37:33 | DOCTOR | 
| 94374664371 | Νίκος | Μακρής | 43 | kcreeberj@mapquest.com | 6976121084 | 2025-09-02 02:09:27 | DOCTOR | 
| 95448079151 | Γιώργος | Παππάς | 62 | aphette21@feedburner.com | 6941865882 | 2006-02-19 22:06:45 | DOCTOR | 
| 98451520706 | Σοφία | Βασιλείου | 59 | afreer1@storify.com | 6930384774 | 2023-02-03 16:43:41 | DOCTOR | 
| 98901183989 | Αγγελική | Μακρής | 49 | htippett1x@amazonaws.com | 6964997968 | 2023-01-28 08:05:55 | DOCTOR | 
| 99795619901 | Θανάσης | Καραγιάννης | 47 | gboulder1k@hp.com | 6930711123 | 1996-03-17 21:31:19 | DOCTOR | 
